experiment,model,overall_avg_accuracy,overall_avg_object_accuracy
ID1,anthropic/claude-sonnet-4.5,0.3238222222222222,0.2541102731674788
ID1,tngtech/deepseek-r1t2-chimera:free,0.7754666666666667,0.327237321032397
ID1,openai/gpt-4.1-mini,0.8344888888888888,0.2983015568275239
ID1,openai/o3,0.7148444444444445,0.4948084382956268
ID1,x-ai/grok-code-fast-1,0.4867851851851853,0.16695123605943712
ID1,google/gemini-3-pro-preview,0.781688888888889,0.7121712843720104
ID2,anthropic/claude-sonnet-4.5,0.31120000000000003,0.22696384948737885
ID2,tngtech/deepseek-r1t2-chimera:free,0.9154666666666668,0.6033514950164071
ID2,openai/gpt-4.1-mini,0.8305777777777777,0.33123538753041315
ID2,openai/o3,0.9125333333333334,0.7132154869585636
ID2,x-ai/grok-code-fast-1,0.6914666666666667,0.4266452971075439
ID2,google/gemini-3-pro-preview,0.9231999999999999,0.8317533369821402
OOD1,anthropic/claude-sonnet-4.5,0.0,0.0
OOD1,tngtech/deepseek-r1t2-chimera:free,0.8297777777777778,0.29010821126614744
OOD1,openai/gpt-4.1-mini,0.7385777777777778,0.24608252466673486
OOD1,openai/o3,0.8526222222222224,0.5088253931500294
OOD1,x-ai/grok-code-fast-1,0.6340571428571429,0.240645382307524
OOD1,google/gemini-3-pro-preview,0.7325333333333335,0.5972300556473344
OOD2,anthropic/claude-sonnet-4.5,0.0,0.0
OOD2,tngtech/deepseek-r1t2-chimera:free,0.7784,0.2547188307527618
OOD2,openai/gpt-4.1-mini,0.699111111111111,0.16493289513100295
OOD2,openai/o3,0.8656888888888888,0.4190496710753827
OOD2,x-ai/grok-code-fast-1,0.5959308641975309,0.22516428903380942
OOD2,google/gemini-3-pro-preview,0.6907555555555556,0.4839915872395014
OOD3,anthropic/claude-sonnet-4.5,0.0,0.0
OOD3,tngtech/deepseek-r1t2-chimera:free,0.8533,0.2722276320988465
OOD3,openai/gpt-4.1-mini,0.5926777777777776,0.09901072329638572
OOD3,openai/o3,0.82775,0.38767170508984605
OOD3,x-ai/grok-code-fast-1,0.40800000000000003,0.14481896276026712
OOD3,google/gemini-3-pro-preview,0.9042999999999999,0.7922413330435402
envGen_size,anthropic/claude-sonnet-4.5,,
envGen_size,tngtech/deepseek-r1t2-chimera:free,0.8600681986858346,0.597168367331083
envGen_size,openai/gpt-4.1-mini,0.4149528721847281,0.17100094189559029
envGen_size,openai/o3,0.9084692861977228,0.7984365827572595
envGen_size,x-ai/grok-code-fast-1,0.5669028969187752,0.34765586010137095
envGen_size,google/gemini-3-pro-preview,0.7585093567251462,0.76
envGen_objects,anthropic/claude-sonnet-4.5,,
envGen_objects,tngtech/deepseek-r1t2-chimera:free,0.8534222222222223,0.5672358667203706
envGen_objects,openai/gpt-4.1-mini,0.8032,0.323882457326994
envGen_objects,openai/o3,0.8232888888888891,0.7382217928791345
envGen_objects,x-ai/grok-code-fast-1,0.6538222222222222,0.38252511251395116
envGen_objects,google/gemini-3-pro-preview,0.8128,0.7931568437222087
